file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume.html,157,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,7
resume.html,158,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,13
resume.html,159,html,c354d0e4,MManiSSingh,2025-01-17,23:23:50,-08:00,2025-01-17T23:23:50-08:00,4,22
resume.html,160,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,28
resume.html,161,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,19
resume.html,162,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,28
resume.html,163,html,c354d0e4,MManiSSingh,2025-01-17,23:23:50,-08:00,2025-01-17T23:23:50-08:00,4,3
resume.html,164,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,8
resume.html,165,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,7
resume.html,166,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,15
resume.html,167,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,7
resume.html,168,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,6
resume.html,169,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,8,24
resume.html,170,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,7
resume.html,171,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,93
resume.html,172,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,8
resume.html,173,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,8
resume.html,174,html,420eb7f6,MManiSSingh,2025-01-31,17:05:44,-08:00,2025-01-31T17:05:44-08:00,0,0
resume.html,175,html,3d714664,MManiSSingh,2025-01-31,16:30:26,-08:00,2025-01-31T16:30:26-08:00,2,45
resume.html,176,html,420eb7f6,MManiSSingh,2025-01-31,17:05:44,-08:00,2025-01-31T17:05:44-08:00,0,0
resume.html,177,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,0,5
resume.html,178,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,0,5
